name,season,number,airdate,runtime,rating,summary,image_url
Pilot,1,1,9/24/2007,30,{'average': 7.8},"Brilliant physicist roommates Leonard and Sheldon meet their new neighbor Penny, who begins showing them that as much as they know about science, they know little about actual living.",https://image.tmdb.org/t/p/original/l3rRtcQ3hk0JXjhiRqSqImXUBVO.jpg
The Big Bran Hypothesis,1,2,10/1/2007,30,{'average': 8.1},"Leonard volunteers to sign for a package in an attempt to make a good impression on Penny, but when he enlists Sheldon for help, his attempt at chivalry goes terribly awry.",https://image.tmdb.org/t/p/original/2OXgMuOqkyjQ19fOrMDGATVCsw1.jpg
The Fuzzy Boots Corollary,1,3,10/8/2007,30,{'average': 7.8},Leonard asks a woman out after he finds out that Penny is seeing someone.,https://image.tmdb.org/t/p/original/eDyDC7cwKz9ZTA4CX44eKuHjPgZ.jpg
The Luminous Fish Effect,1,4,10/15/2007,30,{'average': 8.2},"Sheldon's getting fired forces him to explore what life has to offer outside physics, leaving Leonard to take drastic action to snap his friend out of his funk.",https://image.tmdb.org/t/p/original/kKS7oikWCivvrOarkUpH4q1vv2T.jpg
The Hamburger Postulate,1,5,10/22/2007,30,{'average': 8},"Fearing he's wasting his time on Penny, Leonard ends up making a connection with Leslie.",https://image.tmdb.org/t/p/original/zO3CSyb13PQyzWICp4mmZEUeExp.jpg
The Middle-Earth Paradigm,1,6,10/29/2007,30,{'average': 8.2},"Penny hosts a Halloween party, putting Leonard, Sheldon, Wolowitz, and Koothrappali through a new test of their social skills.",https://image.tmdb.org/t/p/original/4P20QdmB6QL8aa0b8dKR8sHK1iW.jpg
The Dumpling Paradox,1,7,11/5/2007,30,{'average': 8.1},"With Wolowitz AWOL with one of her friends, Penny's recruited to fill in for him on the guys' Halo team",https://image.tmdb.org/t/p/original/4y5rvzPZF5ukM3vtktqWTp9MhyH.jpg
The Grasshopper Experiment,1,8,11/12/2007,30,{'average': 8.2},"Raj's parents set him up on a blind date, but just when he discovers he can talk to her, she shows interest in Sheldon.",https://image.tmdb.org/t/p/original/rbVfuB7vBrrXygo0d8qhk9FhmAd.jpg
The Cooper-Hofstadter Polarization,1,9,3/17/2008,30,{'average': 8.1},"When they're invited to present at a physics conference, Sheldon's reluctance to share the credit leads to a tiff between him and Leonard, and Penny's intervention only exacerbates the situation.",https://image.tmdb.org/t/p/original/8MvMEvZzZPBkgQZIVk9KvF8nLH5.jpg
The Loobenfeld Decay,1,10,3/24/2008,30,{'average': 7.9},"Leonard and Sheldon each lie to avoid seeing Penny's concert, but Sheldon's is a bit too complicated for his own good.",https://image.tmdb.org/t/p/original/6dssfbhNv1g3FFqKWKJhNqaqSQH.jpg
The Pancake Batter Anomaly,1,11,3/31/2008,30,{'average': 8.1},"With his friends knowing how sour he acts when sick—and avoiding him as a result—Sheldon is nursed by Penny, who hasn't a clue what she's in for.",https://image.tmdb.org/t/p/original/q0E0GNUMHWZDNKbygCjKJGiFc9G.jpg
The Jerusalem Duality,1,12,4/14/2008,30,{'average': 7.9},"With Sheldon rattled over meeting Dennis, a 15-year-old physicist who's smarter than he, Leonard helps him look for a way to debunk Dennis's research.",https://image.tmdb.org/t/p/original/wlo6NGvrpo58hnUztkAmdDBPj2D.jpg
The Bat Jar Conjecture,1,13,4/21/2008,30,{'average': 8},"Sheldon finds himself booted from the gang's Physics Bowl team and replaced with Leslie, so he forms his own team, hoping to prove he's superior.",https://image.tmdb.org/t/p/original/w1Et8tW5En8a2ieEWRlolAVkyED.jpg
The Nerdvana Annihilation,1,14,4/28/2008,30,{'average': 8.2},"When delivery of another collectible leads to Penny's lashing out at Leonard, he decides it's time to give up his habit, much to his friends' protestation.",https://image.tmdb.org/t/p/original/sktEOfZVIBnyW6MeZlGXbcdp6vO.jpg
The Pork Chop Indeterminacy,1,15,5/5/2008,30,{'average': 8.3},"The rest of the gang fall for Sheldon's twin sister, and Leonard's plan to win her heart is derailed when Sheldon declares he'll be the one to decide who can date her.",https://image.tmdb.org/t/p/original/qBlf2PEd6RDGnyOip6ZPJ825AMw.jpg
The Peanut Reaction,1,16,5/12/2008,30,{'average': 8.3},"Penny wants to throw a surprise party for Leonard, but Sheldon's indulgence at an electronics store throws her off-track.",https://image.tmdb.org/t/p/original/jnI6qR3y9Hfn7hA1uCUJhYMkIAv.jpg
The Tangerine Factor,1,17,5/19/2008,30,{'average': 8.3},"Penny's break-up spurs Leonard to summon the courage to ask her out, and each goes to Sheldon for advice on their upcoming date.",https://image.tmdb.org/t/p/original/3RCfgXjtRcWRt1ci7RIYi3JzJQ9.jpg
