name,season,number,airdate,runtime,rating,summary,image_url
The One Where Monica Gets a Roommate,1,1,9/22/1994,30,{'average': 8.4},Monica's old friend Rachel moves in with her after leaving her fiancé.,https://image.tmdb.org/t/p/original/fbtaoynlPpENx3Ss2laC7wgqLIP.jpg
The One With the Sonogram at the End,1,2,9/29/1994,30,{'average': 8.3},Rachel returns her engagement ring; Ross's ex-wife has a revelation for him.,https://image.tmdb.org/t/p/original/q00vWBNdLBIprqA3zQJ3TpfXNhu.jpg
The One With the Thumb,1,3,10/6/1994,30,{'average': 8.6},Monica's friends find her new beau appealing; Phoebe finds a little something extra in her soda.,https://image.tmdb.org/t/p/original/zLZb1o6dTpUmTNdODdbqH8dJpjc.jpg
The One With George Stephanopoulos,1,4,10/13/1994,30,{'average': 8.3},Chandler and Joey take Ross to a hockey game -- with painful results; the ladies get someone else's pizza.,https://image.tmdb.org/t/p/original/ewcHihTEPLvPPW7o0SDc0ZTs66o.jpg
The One With the East German Laundry Detergent,1,5,10/20/1994,30,{'average': 8.8},Ross does laundry with Rachel; Joey uses Monica to get his old girlfriend back.,https://image.tmdb.org/t/p/original/1JLPosNtPdj83jOwwPCBRhuJu3m.jpg
The One With the Butt,1,6,10/27/1994,30,{'average': 8.5},Joey's new agent gets him a cheeky role in a movie; Chandler dates a woman with lots of baggage.,https://image.tmdb.org/t/p/original/raXlzz3GBvm3uEzcDtu0IAqm96S.jpg
The One With the Blackout,1,7,11/3/1994,30,{'average': 8.8},A blackout traps Chandler in an ATM vestibule with model Jill Goodacre; a cat comes between Ross and Rachel.,https://image.tmdb.org/t/p/original/4s280bCobeuCw4d4djtFUpVKNHz.jpg
The One Where Nana Dies Twice,1,8,11/10/1994,30,{'average': 8.6},Monica and Ross mourn the loss of their grandmother.,https://image.tmdb.org/t/p/original/mlctpU7B2e9XnKrp5LHFf8WrOZp.jpg
The One Where Underdog Gets Away,1,9,11/17/1994,30,{'average': 8.8},Monica tries to cook Thanksgiving dinner for the gang; Ross relishes the chance to talk to his unborn child.,https://image.tmdb.org/t/p/original/wiS3bKGiH3jglke48Tb3Jkk8Rfe.jpg
The One With the Monkey,1,10,12/15/1994,30,{'average': 8.7},A new pet monkeys around with Ross's ego during the holidays; Phoebe falls for a scientist .,https://image.tmdb.org/t/p/original/uk0yh6xFTwwQcHGlbhJ5X5gKT33.jpg
The One With Mrs. Bing,1,11,1/5/1995,30,{'average': 8.7},Chandler's novelist mother visits -- and hits on Ross; Phoebe and Monica fall for the same guy.,https://image.tmdb.org/t/p/original/pCStDEs8Ga900w8dz8Forg4PCjL.jpg
The One With the Dozen Lasagnas,1,12,1/12/1995,30,{'average': 8.7},Phoebe has some bad news for Rachel about Paolo; Ross learns some of the results of his former wife's amniocentesis.,https://image.tmdb.org/t/p/original/y4NsVEIvJadmc5d3KAXvrom26qu.jpg
The One With the Boobies,1,13,1/19/1995,30,{'average': 9},Chandler sees Rachel naked; Joey learns his father is having an affair; Phoebe dates a psychiatrist.,https://image.tmdb.org/t/p/original/xdHWHWNBctJbTRMKFDJe2se7Pdd.jpg
The One With the Candy Hearts,1,14,2/9/1995,30,{'average': 8.7},"Chandler has a blind date with an ex-girlfriend -- whom he's broken up with twice before; the ladies light a ""boyfriend bonfire""; Ross finds an unlikely Valentine's Day date.",https://image.tmdb.org/t/p/original/k4ZTQpB51rH0cxH2k8w602ndLw.jpg
The One With the Stoned Guy,1,15,2/16/1995,30,{'average': 8.7},"Chandler and Monica plan big career moves, while Ross labors to hit it off with a date.",https://image.tmdb.org/t/p/original/9BaRbjqBUhs59cRQxVbK8Z7E6aV.jpg
"The One With Two Parts, Part 1",1,16,2/23/1995,30,{'average': 9.1},Ross attends Lamaze classes; Joey dates Phoebe's twin; and Chandler has the hots for a co-worker he's supposed to fire.,https://image.tmdb.org/t/p/original/aNTEPjwbPBKfJO4ANNULCm2odSh.jpg
"The One With Two Parts, Part 2",1,17,2/23/1995,30,{'average': 8.9},Monica and Rachel meet two cute doctors; Ross looks to Jack for fatherly advice; Phoebe confronts her twin about Joey.,https://image.tmdb.org/t/p/original/sxm7L3rGvDLVqvsTYjtTxMnF6AK.jpg
The One With All the Poker,1,18,3/2/1995,30,{'average': 9.2},"The guys let the ladies in on a sacred ritual -- their poker game. Meanwhile, Rachel has an interview with Saks.",https://image.tmdb.org/t/p/original/1DI0uapLj8BAFsOPCzrBSGWSree.jpg
The One Where the Monkey Gets Away,1,19,3/9/1995,30,{'average': 9},Ross entrusts Rachel with his pet monkey for a day; Barry has a surprise for Rachel.,https://image.tmdb.org/t/p/original/rIMnr0VbnW4vBfik4SkOB5piRUH.jpg
The One With the Evil Orthodontist,1,20,4/6/1995,30,{'average': 8.7},Chandler's not a very smooth operator when it comes to calling a woman he went out with; Rachel gets involved with her ex-fiancé.,https://image.tmdb.org/t/p/original/vSKytvZZf7ix9Igk12XM8LNN2gY.jpg
The One With the Fake Monica,1,21,4/27/1995,30,{'average': 8.4},Monica meets the woman who used her credit-card number; Ross realizes it's time to find a new home for Marcel.,https://image.tmdb.org/t/p/original/P5VdD2h4oogjjvIyP7kgYB2YLB.jpg
The One With the Ick Factor,1,22,5/4/1995,30,{'average': 8.8},Phoebe gets temporary work as Chandler's secretary; Monica's new boyfriend is younger than she thinks.,https://image.tmdb.org/t/p/original/wdNKFtPbhWUFWvNxgWZT83H0rA5.jpg
The One With the Birth,1,23,5/11/1995,30,{'average': 8.9},Ross quarrels with Susan in the delivery room as Carol prepares to give birth; Joey befriends a mother-to-be.,https://image.tmdb.org/t/p/original/vw6110Vh0j0QtmGqB6BnmbOmMda.jpg
The One Where Rachel Finds Out,1,24,5/18/1995,30,{'average': 9},Rachel finally realizes how much Ross likes her -- but not before he leaves for China on museum business.,https://image.tmdb.org/t/p/original/9mKWvYLOAh3mgEB9aVBeVeHw9s.jpg
The One With Ross's New Girlfriend,2,1,9/21/1995,30,{'average': 9},Rachel meets Ross's female travel companion; Joey unwittingly recommends a seamy tailor to Chandler; and Phoebe cuts Monica's hair.,https://image.tmdb.org/t/p/original/grt1km00cjrwAckfgO3QGiHYq89.jpg
The One With the Breast Milk,2,2,9/28/1995,30,{'average': 8.6},Monica goes shopping with Julie behind Rachel's back; Ross isn't exactly gaga over breast milk.,https://image.tmdb.org/t/p/original/dyBB19jEpwj6gzGA1IcXxj9kq1e.jpg
The One Where Heckles Dies,2,3,10/5/1995,30,{'average': 8.9},The gang disturbs Mr. Heckles for the last time; Phoebe takes issue with Ross on the subject of evolution.,https://image.tmdb.org/t/p/original/ny7ArJi6VmHyrHmyOmToGpjUbzD.jpg
The One With Phoebe's Husband,2,4,10/12/1995,30,{'average': 8.7},Phoebe's secret husband shows up; Rachel tries to distract Ross from having sex with Julie.,https://image.tmdb.org/t/p/original/jtYyA2OO0Xj6GPq7DGCVCOKvspt.jpg
The One With Five Steaks and an Eggplant,2,5,10/19/1995,30,{'average': 8.9},Chandler receives a sexy phone call meant for someone else; the gang becomes divided along income lines.,https://image.tmdb.org/t/p/original/8fCf2sdGC5nxfULSTE8VYFMXuJR.jpg
The One With the Baby on the Bus,2,6,11/2/1995,30,{'average': 9.1},"An allergic reaction sends Ross to the hospital, leaving Chandler and Joey to look after Ben; Central Perk hires another singer to replace Phoebe.",https://image.tmdb.org/t/p/original/4RxxAAbQgt8wgOXDWXcKVUVqXr5.jpg
The One Where Ross Finds Out,2,7,11/9/1995,30,{'average': 9.2},Rachel goes on a date in an effort to forget about Ross; Monica presses Chandler to complete an exercise program.,https://image.tmdb.org/t/p/original/1oGAR9wigUiz00YiCdTFniTevMx.jpg
The One With the List,2,8,11/16/1995,30,{'average': 8.9},"Ross is torn between Rachel and Julie, so Chandler prompts him to list each woman's pros and cons; Monica concocts recipes for a new product.",https://image.tmdb.org/t/p/original/ng1mU6n9Yb9JWwNH2bIlzIUdZhx.jpg
The One With Phoebe's Dad,2,9,12/14/1995,30,{'average': 8.7},Phoebe confronts her grandmother about the father she never knew; things heat up at Monica's holiday party.,https://image.tmdb.org/t/p/original/HiNO3Gyp69e59Pax6a0g2Vhr1S.jpg
The One With Russ,2,10,1/4/1996,30,{'average': 8.4},Rachel dates a guy who's similar to Ross; Joey can get a part if he sleeps with the casting director; Fun Bobby is no fun without alcohol.,https://image.tmdb.org/t/p/original/zDoRfPdUWKdhl3MSiMckp1wtzWC.jpg
The One With the Lesbian Wedding,2,11,1/18/1996,30,{'average': 8.6},"Rachel's mother considers ending her marriage; Carol decides to marry her lover, Susan; Phoebe believes she's possessed.",https://image.tmdb.org/t/p/original/sHhsoHmPSG0hVopaKsnM9pu7zD6.jpg
"The One After the Superbowl, Part 1",2,12,1/28/1996,30,{'average': 9},Ross searches for Marcel; Joey is attracted to an obsessed fan; Phoebe sings songs for kids.,https://image.tmdb.org/t/p/original/lPPHEnQDdTEFWzG0fLEFp7AAAU1.jpg
"The One After the Superbowl, Part 2",2,13,1/28/1996,30,{'average': 9.1},"Ross learns Marcel is working on a movie, and the film's makeup artist seems to want Chandler; Monica and Rachel fight over Jean-Claude Van Damme, who appears as himself.",https://image.tmdb.org/t/p/original/aAOWF2fMQiDrdzb6IpAOiTmnJaC.jpg
The One With the Prom Video,2,14,2/1/1996,30,{'average': 9.5},"Monica brings some things home from her parents' house, including a prom video; Rachel tells Ross that she doesn't think it will work out between them.",https://image.tmdb.org/t/p/original/yaj00vryGCmBzpkrEDHgT6Pj5z5.jpg
The One Where Ross and Rachel... You Know,2,15,2/8/1996,30,{'average': 9.2},Ross's work hinders the evolution of his and Rachel's romance; Monica has eyes for an older opthalmologist; Joey and Chandler enjoy a big-screen TV.,https://image.tmdb.org/t/p/original/vEnD6mvkwRgapYZr8tZBSoEAHcn.jpg
The One Where Joey Moves Out,2,16,2/15/1996,30,{'average': 8.7},Richard's relationship with a younger woman causes a stir at a party for Ross and Monica's dad; Joey decides to move out; Rachel gets a tattoo.,https://image.tmdb.org/t/p/original/7OKGNoKDtFxQY3hNXOP6y3JRO53.jpg
The One Where Eddie Moves In,2,17,2/22/1996,30,{'average': 8.7},Chandler gets a new roommate; Monica doesn't like having Ross around all the time; Phoebe makes a music video.,https://image.tmdb.org/t/p/original/zjGdr3fu5LaoFGKMcXwvwEX3lNu.jpg
The One Where Dr. Ramoray Dies,2,18,3/21/1996,30,{'average': 8.7},"The days in the life of Joey's character, Dr. Ramoray, are numbered; Chandler's new roommate scares him.",https://image.tmdb.org/t/p/original/2CdJM0V4iUOYTrGbn7XZ0sfdmaG.jpg
The One Where Eddie Won't Go,2,19,3/28/1996,30,{'average': 8.7},Chandler wants Eddie to move out; Joey faces unemployment; a self-help book empowers the ladies.,https://image.tmdb.org/t/p/original/nPaqxogdoDIb81HJ488dsVbkpCw.jpg
The One Where Old Yeller Dies,2,20,4/4/1996,30,{'average': 8.7},"Rachel freaks when Ross talks about spending a lifetime together; Chandler and Joey befriend Richard; Phoebe is shocked by the ending of ""Old Yeller.""",https://image.tmdb.org/t/p/original/pfBhzSGoBFWnHr7HGo4OHUn48gI.jpg
The One With the Bullies,2,21,4/25/1996,30,{'average': 8.9},Bullies accost Ross and Chandler; Monica plays the stock market; and Phoebe attempts to meet her father again.,https://image.tmdb.org/t/p/original/cNgv7rAm7YkvooOGOpFSTlfS5wS.jpg
The One With the Two Parties,2,22,5/2/1996,30,{'average': 9.1},"When Rachel's divorcing parents both show up for her birthday, her friends hold two separate parties to keep them apart.",https://image.tmdb.org/t/p/original/aKmPfjA0QssEqOuiSMyJGEoEJdt.jpg
The One With the Chicken Pox,2,23,5/9/1996,30,{'average': 9.1},"A submariner surfaces to spend two weeks with Phoebe, who's come down with chicken pox; Joey plays the role of a data processor at Chandler's company.",https://image.tmdb.org/t/p/original/pVSXGWFFGGKs3iWDX8RZmtNJlDA.jpg
The One With Barry and Mindy's Wedding,2,24,5/16/1996,30,{'average': 9.1},Rachel's in her ex-fiancé's wedding; Chandler has a cyberspace romance; Monica and Richard think about their future.,https://image.tmdb.org/t/p/original/3o85MotMLDmbCPIiIwCfPYzDYgY.jpg
The One With the Princess Leia Fantasy,3,1,9/16/1996,30,{'average': 8.8},Janice tries to change Joey's opinion of her; Ross's sexual fantasy isn't kept between him and Rachel; Monica can't shake memories of Richard.,https://image.tmdb.org/t/p/original/ci28CPpvg6EEDPlCbMLtNUDJPcR.jpg
The One Where No One's Ready,3,2,9/26/1996,30,{'average': 9.1},Nobody seems to be getting the message when Ross demands that the group get ready for his black-tie benefit.,https://image.tmdb.org/t/p/original/bBmgNbrW0ozjaiKDKKfijwKWdRc.jpg
The One With the Jam,3,3,10/3/1996,30,{'average': 8.4},Monica turns her attention from making jam to maybe making a baby; Phoebe befriends a guy who's stalking her twin sister.,https://image.tmdb.org/t/p/original/fNgjqLtlhQBjNRFdX10edanoke1.jpg
The One With the Metaphorical Tunnel,3,4,10/10/1996,30,{'average': 8.4},Chandler decides to make a real commitment to Janice; Phoebe poses as Joey's agent; Ross is troubled by Ben's toy.,https://image.tmdb.org/t/p/original/jLnfUmRWirw55UJ9vUu9DBXhxKw.jpg
The One With Frank Jr.,3,5,10/17/1996,30,{'average': 8.5},"The gang compiles ""freebie lists""; Phoebe tries to get to know her half brother; Joey builds an entertainment center.",https://image.tmdb.org/t/p/original/xV4gS3ZbpbDDRy1iTAzD9pWone2.jpg
The One With the Flashback,3,6,10/31/1996,30,{'average': 9.4},The show flashes back to when the friends were acquaintances and pairing off was a possibility.,https://image.tmdb.org/t/p/original/vAVRp4FQO858ZurhMkjy2Ry8BbM.jpg
The One With the Race Car Bed,3,7,11/7/1996,30,{'average': 8.8},Monica orders a bed from the store owned by Janice's estranged husband; Joey teaches soap-opera acting; Ross struggles through a dinner with Rachel's abrasive father.,https://image.tmdb.org/t/p/original/gCUk2Mytau5IX7oEndRnwtzThOT.jpg
The One With the Giant Poking Device,3,8,11/14/1996,30,{'average': 8.8},Joey reveals to Chandler that he saw Janice kissing her estranged husband; Rachel and Monica baby-sit Ben; Phoebe explains her fear of the dentist.,https://image.tmdb.org/t/p/original/lu2f7cegzxOPSI3snkYj5CgdEGO.jpg
The One With the Football,3,9,11/21/1996,30,{'average': 9},Ross and Monica go nose-to-nose in an unfriendly Thanksgiving football game.,https://image.tmdb.org/t/p/original/mQpnuhi29rAZLp820hakowPpPaR.jpg
The One Where Rachel Quits,3,10,12/12/1996,30,{'average': 8.8},"Rachel quits Central Perk; Phoebe objects to the treatment of Christmas trees; Ross sells cookies for a ""Brown Bird"" scout he injured; Monica gets hooked on Mint Treasures.",https://image.tmdb.org/t/p/original/dVgaNrwBiYu0O1mpqvOLuEvvIf3.jpg
The One Where Chandler Can't Remember Which Sister,3,11,1/9/1997,30,{'average': 8.9},A drunken Chandler has a liaison with one of Joey's sisters; a nice guy recommends Rachel for a job.,https://image.tmdb.org/t/p/original/14vp2eC2vuJvvmxry86j6gugpNF.jpg
The One With All the Jealousy,3,12,1/16/1997,30,{'average': 8.8},Ross is jealous of Mark; a romantic poet criticizes Monica in verse; Joey's a dancing fool for a Broadway musical audition.,https://image.tmdb.org/t/p/original/yz9hYNhS92EFfii4apZoPaH3TxZ.jpg
The One Where Monica and Richard are Just Friends,3,13,1/30/1997,30,{'average': 8.8},Monica sees Richard again and they agree to be just pals -- and occasional lovers; Phoebe's new beau has an embarrassing habit.,https://image.tmdb.org/t/p/original/qIbd5XEEa5gK2oXRbIeYT9PrK2W.jpg
The One With Phoebe's Ex-Partner,3,14,2/6/1997,30,{'average': 8.6},Phoebe's ex-singing partner wants to reunite; Chandler likes a woman associated with a shameful incident from Joey's past; Ross wants to spend more time with Rachel.,https://image.tmdb.org/t/p/original/3Towvxh6qAtJycuJ7XW8GJQhB3N.jpg
The One Where Ross and Rachel Take a Break,3,15,2/13/1997,30,{'average': 8.9},Ross and Rachel decide to take a break in their relationship; Phoebe dates a diplomat who requires a translator.,https://image.tmdb.org/t/p/original/hQ7vb9GxKeHq8zhy3L15TWmcXlq.jpg
The One the Morning After,3,16,2/20/1997,30,{'average': 8.8},"Ross's fling with Chloe jeopardizes his future with Rachel, who learns of the misdeed after she says she wants to work things out.",https://image.tmdb.org/t/p/original/5rM97ao2TZZMHUrfsnP1XCOh1Jx.jpg
