name,season,number,airdate,runtime,rating,summary,image_url
Pilot,1,1,3/24/2005,30,{'average': 7.7},A documentary crew arrives at Dundler Mifflin to observe the workplace. Michael Scott tries to paint a happy picture while facing potential downsizing.,https://image.tmdb.org/t/p/original/ve9TeBQd1laUriOGilkhEfAZeNo.jpg
Diversity Day,1,2,3/29/2005,30,{'average': 8.1},Corporate sends in a consultant after Michael attempts to imitate a Chris Rock routine. Michael ends up staging his own Diversity Day event.,https://image.tmdb.org/t/p/original/61KGIFQqkevznaYUOIwUPbEzwU4.jpg
Health Care,1,3,4/5/2005,30,{'average': 8.1},Dwight ends up in charge of picking a new health care plan.,https://image.tmdb.org/t/p/original/AmnJCzXOQ1x3iV0O6V08GknQ8Ou.jpg
The Alliance,1,4,4/12/2005,30,{'average': 8.2},"With Dwight worried about downsizing, Jim agrees to an alliance; Michael tries to increase moral be throwing a birthday party for Meredith.",https://image.tmdb.org/t/p/original/xQkvJdoK5tfkVELqQoz8u2mOEK1.jpg
Basketball,1,5,4/19/2005,30,{'average': 8.6},Michael challenges the warehouse staff to a basketball game versus the office staff.,https://image.tmdb.org/t/p/original/sMVjvaGeackBlES9tXLVlCl4ZIr.jpg
Hot Girl,1,6,4/26/2005,30,{'average': 8.2},Several male staff members vie for the attention of an attractive purse sales woman.,https://image.tmdb.org/t/p/original/sRJAClTWubrVwk2q6nWq1GT9lOm.jpg
The Dundies,2,1,9/20/2005,30,{'average': 8},Michael hosts the annual Dundies awards.,https://image.tmdb.org/t/p/original/9Yli4Lw9679YyuYAm0n7VNoZcPJ.jpg
Sexual Harassment,2,2,9/27/2005,30,{'average': 8.3},Michael's continual sending of explicit e-mail forwards forces Dunder Mifflin to review it's sexual harassment policy; Pam's mom makes a visit to the office.,https://image.tmdb.org/t/p/original/pRh05SGuzHzSIZRNaWcjV8GjGLL.jpg
Office Olympics,2,3,10/4/2005,30,{'average': 8.3},"With Michael and Dwight out of the house, Jim organizes an office Olympics.",https://image.tmdb.org/t/p/original/mEk5ZkdGGdKW2PUgM3XChU8K3rU.jpg
The Fire,2,4,10/11/2005,30,{'average': 8.5},A fire starts in the office kitchen.,https://image.tmdb.org/t/p/original/wLxlM3uqea3Ldhw4I2weEZd6lng.jpg
Halloween,2,5,10/18/2005,30,{'average': 8.4},Michael has to fire someone on Halloween.,https://image.tmdb.org/t/p/original/lMvRDCIJPOBoIyUxKr9xKluzrdQ.jpg
The Fight,2,6,11/1/2005,30,{'average': 8.5},Michael challenges Dwight to a fight at his martial arts studio.,https://image.tmdb.org/t/p/original/as3TPWJJCEeL7kB54QqE4gH9AfA.jpg
The Client,2,7,11/8/2005,30,{'average': 8.6},Jan helps Michael with an important pitch for a client; The staff discovers a screenplay in Michael's office.,https://image.tmdb.org/t/p/original/5utO4udyvMV5AFY2oeBb0V7ECxf.jpg
Performance Review,2,8,11/15/2005,30,{'average': 8.5},Michael uses each employee's performance review to discuss his relationship with Jan.,https://image.tmdb.org/t/p/original/x65icONgGtUT6VCStL9ZQJd5Cr7.jpg
E-Mail Surveillance,2,9,11/22/2005,30,{'average': 8.7},The office staff finds out that Michael has set up e-mail surveillance.,https://image.tmdb.org/t/p/original/6PzXH7sa1Jwx6aCUOqmjTgNg03P.jpg
Christmas Party,2,10,12/6/2005,30,{'average': 8.6},"At the office Christmas party, Michael changes secret santa into a gift exchange.",https://image.tmdb.org/t/p/original/cjD1kUGSQEjeR6W17XPnB4agrXp.jpg
Booze Cruise,2,11,1/5/2006,30,{'average': 8.4},Michael takes the staff on a booze cruise.,https://image.tmdb.org/t/p/original/aXPsdkYixMPLsRpAGEtGuazJ9n6.jpg
The Injury,2,12,1/12/2006,30,{'average': 8.5},"Michael accidentally burns his foot on his George Foreman Grill, but insists on coming to work anyway. When none of his employees, except for Dwight , help him, Michael feels under-appreciated. Meanwhile, Dwight starts acting strangely nice to everyone, especially Pam.",https://image.tmdb.org/t/p/original/eisjsle9DzauHbrSPJpZfWAekho.jpg
The Secret,2,13,1/19/2006,30,{'average': 7.9},"Jim is forced into spending time with Michael so that he will not reveal Jim's feelings for Pam. Meanwhile, Oscar takes a ""sick day"" and Dwight investigates whether he is actually sick.",https://image.tmdb.org/t/p/original/f4G0SWI93FaDbmmo1hD7vfCLIGf.jpg
The Carpet,2,14,1/26/2006,30,{'average': 8},"A disgusting ""thing"" – implied to be human feces – is left in Michael's office, and he tries to discover who did it. While his carpet is being replaced, he uses Jim's desk, forcing him to move away from Pam into the annex.",https://image.tmdb.org/t/p/original/12YVvyKGS9CqXuX09mWtHBNA6Rc.jpg
Boys and Girls,2,15,2/2/2006,30,{'average': 8.6},"When Jan comes to the office for a women in the office session, Michael stages a men's only session.",https://image.tmdb.org/t/p/original/A0Cjm5Wvou6VP5xeWF39xUaXTLY.jpg
Valentine's Day,2,16,2/9/2006,30,{'average': 8.1},Michael has a big meeting in New York with Jan and the companies new CEO; Pam deals with all the Valentine's Day deliveries hoping Roy will remember to send her something.,https://image.tmdb.org/t/p/original/zLUOJmzT6gSLELbBUTOKN7Csrf.jpg
Dwight's Speech,2,17,3/2/2006,30,{'average': 8.4},Dwight has to make a big speech when he is named Salesmen of the Year.,https://image.tmdb.org/t/p/original/jCVOuVbuiGo2yHbTlmy1Ak82SML.jpg
Take Your Daughter to Work Day,2,18,3/16/2006,30,{'average': 8.1},Staff members bring their children to work.,https://image.tmdb.org/t/p/original/mdKJkq4Z1Gw39Aa4wNzfPAhmyHv.jpg
Michael's Birthday,2,19,3/30/2006,30,{'average': 8.4},Michael's birthday coincides with Kevin awaiting the news to see if he has skin cancer.,https://image.tmdb.org/t/p/original/9rpR7qGkCqHzFAQWNGWBhlET5jJ.jpg
Drug Testing,2,20,4/27/2006,30,{'average': 8.2},"After Dwight finds a joint in the office park, he goes overboard with an investigation.",https://image.tmdb.org/t/p/original/e2JsVFkqtvJahNJHc42Xck86en2.jpg
Conflict Resolution,2,21,5/4/2006,30,{'average': 8.3},Michael's attempt to resolve conflict resolution in the office just leads to more conflict.,https://image.tmdb.org/t/p/original/oQjufULRy7SZCUkhwN6zjAmgTtl.jpg
Casino Night,2,22,5/11/2006,30,{'average': 9.2},The office holds a casino night for charity in the warehouse.,https://image.tmdb.org/t/p/original/bZcmyvX6oeQ0eceV292lse0bPQo.jpg
Gay Witch Hunt,3,1,9/21/2006,30,{'average': 8.6},Michael finds out that Oscar is gay after Oscar files a complaint when Michael uses a homosexual slur.,https://image.tmdb.org/t/p/original/g93jcazYdNyf2PMebD4yixwTdE4.jpg
The Convention,3,2,9/28/2006,30,{'average': 8.4},Michael and Dwight go to a convention that Jim is also attending; Pam goes on her first date after her engagement.,https://image.tmdb.org/t/p/original/a2PI7yrGu0GIK2ayoKxc4LJZ13T.jpg
The Coup,3,3,10/5/2006,30,{'average': 8.2},"After Jan discovers Michael has been having ""movie Monday's"", Angela encourages Dwight to make a move for Michael's job.",https://image.tmdb.org/t/p/original/j9zrwoLX4JLGflFNfWCNFm0S0JN.jpg
Grief Counseling,3,4,10/12/2006,30,{'average': 8},"Michael organizes grief counseling sessions following the death of his old boss, Ed Truck.",https://image.tmdb.org/t/p/original/rlOYq6pAqvox2wAEdvPCBUjxRER.jpg
Initiation,3,5,10/19/2006,30,{'average': 7.9},Dwight initiates Ryan into his new job as a salesmen at Dunder Mifflin; Pam is tasked with keeping track of everything Michael does during the day by Jan.,https://image.tmdb.org/t/p/original/pHYltDCFC2dj3G8wwX30Gj9wryY.jpg
Diwali,3,6,11/2/2006,30,{'average': 8},Kelly invites the office staff to a Diwali celebration.,https://image.tmdb.org/t/p/original/mSPRenUgz0b5aBCZKMLBJYO2lqE.jpg
Branch Closing,3,7,11/9/2006,30,{'average': 8.3},Jan gives Michael the news that the Scranton branch is closing.,https://image.tmdb.org/t/p/original/nJiGrGPYr3sHA73jXPtU36ZxayA.jpg
The Merger,3,8,11/16/2006,30,{'average': 8.4},Jim and other members of the Stamford branch have their first day at Scranton.,https://image.tmdb.org/t/p/original/upFkJxkixNZpIQecRtRNppgzM8e.jpg
The Convict,3,9,11/30/2006,30,{'average': 7.9},The office discovers than one of the new Stamford people is a former convict.,https://image.tmdb.org/t/p/original/k4YPnaL4uVvx5HgT7tWtQ7bO420.jpg
A Benihana Christmas (1),3,10,12/14/2006,30,{'average': 8.4},Michael gets dumped by Carol; Pam and Karen start a rival party planning committee.,https://image.tmdb.org/t/p/original/bf88U7wP9dCr3y6MoMpW63t5w7P.jpg
A Benihana Christmas (2),3,11,12/14/2006,30,{'average': 8.5},Michael gets dumped by Carol; Karen and Pam start a rival party planning committee.,https://image.tmdb.org/t/p/original/9sFfgulQRyx6QUFg4NCtPP3oYGc.jpg
Back from Vacation,3,12,1/4/2007,30,{'average': 8.6},Michael returns from his vacation and accidentally sends a picture of Jan sunbathing to everyone in the office.,https://image.tmdb.org/t/p/original/tcX5S2g51hqHd7cp2OMMKPEhzwt.jpg
Traveling Salesmen,3,13,1/11/2007,30,{'average': 8.1},Dwight does a favor for Angela that puts him in hot water with Michael; The sales team heads out on partner sales calls.,https://image.tmdb.org/t/p/original/p6lwZDK2l05zpChVzl7l9fBU3V2.jpg
The Return,3,14,1/18/2007,30,{'average': 8.3},Oscar returns to work; Dwight gets a job at Staples.,https://image.tmdb.org/t/p/original/Are3Iz2bsskzM9wJL07T8sDTbFO.jpg
Ben Franklin,3,15,2/1/2007,30,{'average': 8.3},The ladies of the office throw a bridal shower for Phyllis; Michael tries to throw a rival bachelor party for Bob.,https://image.tmdb.org/t/p/original/k4P9afguWJex9Qm8nZiLPNOHVn5.jpg
Phyllis' Wedding,3,16,2/8/2007,30,{'average': 8.3},Michael tries to expand his role at Phyllis' wedding; Pam realizes that Phyllis stole all of her ideas from her canceled wedding to Roy.,https://image.tmdb.org/t/p/original/v5KhrOQ8WJPmV5KcxqOT9PqFoya.jpg
Business School,3,17,2/15/2007,30,{'average': 8.4},Michael is a guest speaker at Ryan's business school class; A bat gets lose in the office; Pam has an art show that she invites the entire office too.,https://image.tmdb.org/t/p/original/fXDugr6qOmyzSzI6UOSyOhg7hry.jpg
Cocktails,3,18,2/22/2007,30,{'average': 8.6},"David Wallace hosts a party at his host which Michael, Jan, Dwight, Jim and Karen attend; The rest of the office staff go out for Happy Hour.",https://image.tmdb.org/t/p/original/3VzPBJ6kanhdsVTWltReWPDJx9D.jpg
The Negotiation,3,19,4/5/2007,30,{'average': 8.4},Dwight saves Jim when Roy shows up at the office planning to hit him for kissing Pam; Darryl asks Michael for a raise which leads to Michael asking for a raise from Jan.,https://image.tmdb.org/t/p/original/lvJZXFS2WUxbtNjUUKcErvxNaZ0.jpg
Safety Training,3,20,4/12/2007,30,{'average': 8.3},The office staff undergoes safety training; Andy returns from anger management training.,https://image.tmdb.org/t/p/original/iHvrE0L2w033SpwC56I7SLhoQVm.jpg
Product Recall,3,21,4/26/2007,30,{'average': 8.1},The office staff deal with a breach in quality control when an obscene water mark ends up their paper. ,https://image.tmdb.org/t/p/original/2ZLuHIS4XLWIS8tiIDoRsyq3XOk.jpg
Women's Appreciation,3,22,5/3/2007,30,{'average': 8.7},"After Phyllis is flashed in the parking lot, Michael arranges a women's appreciation day.",https://image.tmdb.org/t/p/original/k4XHC2EM0fGmAp0SDBq862nE9pG.jpg
Beach Games,3,23,5/10/2007,30,{'average': 8.5},The office attends beach day which Michael uses to try and determine who would replace him if he gets a job at corporate. ,https://image.tmdb.org/t/p/original/rCfz64QNR9U2ZYsvjb0iOJI6949.jpg
The Job (1),3,24,5/17/2007,30,{'average': 8.9},"Michael, Jim and Karen interview for a job at corporate; Michael appoints Dwight as regional manager.",
The Job (2),3,25,5/17/2007,30,{'average': 9.3},"Michael, Jim and Karen interview for a job at corporate; Michael appoints Dwight as regional manager.",
Fun Run (1),4,1,9/27/2007,30,{'average': 8},Michael accidentally runs over Meredith in the parking lot which results in Michael arranging a 5K fun run for her.,https://image.tmdb.org/t/p/original/2c3SdXQBXnatA3ziIBFbcPgejK2.jpg
Fun Run (2),4,2,9/27/2007,30,{'average': 8},Michael accidentally runs over Meredith in the parking lot which results in Michael arranging a 5K fun run for her,https://image.tmdb.org/t/p/original/amUwePODTog37A9q6FNVAC8scTZ.jpg
Dunder Mifflin Infinity (1),4,3,10/4/2007,30,{'average': 8.2},Michael is resistant to the new ideas the Ryan brings to the company; Jim and Pam's relationship is exposed to the entire office.,https://image.tmdb.org/t/p/original/vStj5UHaOsMVeMKFIeSbWk4Ouwd.jpg
Dunder Mifflin Infinity (2),4,4,10/4/2007,30,{'average': 8.5},Michael sets out to win clients back the old fashion way.,https://image.tmdb.org/t/p/original/9H6T1taKasivezrcT1MTdNTPWah.jpg
Launch Party (1),4,5,10/11/2007,30,{'average': 8.5},The Dunder Mifflin website launches; Dwight gets into a paper selling war with the new website.,https://image.tmdb.org/t/p/original/v0sGPOXYaUBAJtXcdgte5FANoSR.jpg
Launch Party (2),4,6,10/11/2007,30,{'average': 8.2},Michael is upset when he realizes he wasn't invited to attend the actual launch party in New York; Andy pursues Angela.,https://image.tmdb.org/t/p/original/otDNJG7cTAOnOzCCgCjtgi2PDI3.jpg
Money (1),4,7,10/18/2007,30,{'average': 8.2},Michael takes a second job as supporting Jan is draining his finances; Jim and Pam stay at Dwight's farm.,https://image.tmdb.org/t/p/original/nSDerGIYvbSdAqTlsY2D3DpfIlp.jpg
Money (2),4,8,10/18/2007,30,{'average': 8.2},Oscar helps Michael with his finances; Andy continues to pursue Angela.,https://image.tmdb.org/t/p/original/6ofWC4qb4QD4tQKMlAAo0ZdHaJp.jpg
Local Ad,4,9,10/25/2007,30,{'average': 8.2},Michael believes he can make a better TV ad than the professionals Dunder Mifflin sent.,https://image.tmdb.org/t/p/original/57v9TNarlMz9pf6ZStEmt7jpYMM.jpg
Branch Wars,4,10,11/1/2007,30,{'average': 7.8},Michael and Dwight set out to pull a prank on Utica when they find out that Karen is trying to steal Stanley.,https://image.tmdb.org/t/p/original/8TSgnLX0vRfQi8IZzVuQt0K41GY.jpg
Survivor Man,4,11,11/8/2007,30,{'average': 7.9},Michael sets out to survivor in the wilderness after Ryan doesn't invite him on a retreat; Jim is put in charge of the office while Michael is going and he attempts to change the birthday party policy. ,https://image.tmdb.org/t/p/original/wMDAHVlVc0SmnlbaCKbgSDkn52a.jpg
The Deposition,4,12,11/15/2007,30,{'average': 7.7},Michael tries to play both sides when he has to give a deposition for Jan's lawsuit against Dunder Mifflin.,https://image.tmdb.org/t/p/original/lKnvFZbzK1QXdeLn80YjmINfBOI.jpg
Dinner Party,4,13,4/10/2008,30,{'average': 8.7},"Michael traps Pam and Jim, Angela and Andy into a dinner party with him and Jan.",https://image.tmdb.org/t/p/original/cOMfgSxm7DwjI74daeXUrhxbYIZ.jpg
Chair Model,4,14,4/17/2008,30,{'average': 8},Michael becomes obsessed with a model in a chair catalog; Kevin and Andy set out to reclaim the office's parking spaces.,https://image.tmdb.org/t/p/original/uSMNDIewiFzE4d5PR1OcbGkxxJl.jpg
Night Out,4,15,4/24/2008,30,{'average': 8.3},Michael and Dwight head to New York to party with Ryan; Jim gets the office to work late to avoid coming in on Saturday and they get locked in the parking lot.,
Did I Stutter?,4,16,5/1/2008,30,{'average': 8},Michael has to deal with Stanley's open insubordination at a meeting.,
Job Fair,4,17,5/8/2008,30,{'average': 7.7},"Michael, Pam, Darryl and Oscar attend a job fair; Jim, Kevin and Andy play a round of golf with a perspective client.",
"Goodbye, Toby (1)",4,18,5/15/2008,30,{'average': 8.3},Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,
"Goodbye, Toby (2)",4,19,5/15/2008,30,{'average': 8.9},Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,
Weight Loss (1),5,1,9/25/2008,30,{'average': 8.3},The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://image.tmdb.org/t/p/original/8mw057Hbn0HS3rBzfsFc35t2iR6.jpg
Weight Loss (2),5,2,9/25/2008,30,{'average': 8.2},The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://image.tmdb.org/t/p/original/uHFPX3pK2jtcViZLED1esrKUZvj.jpg
Business Ethics,5,3,10/9/2008,30,{'average': 7.6},Holly has to run an ethics meeting which leads to Meredith revealing an unethical situation. ,https://image.tmdb.org/t/p/original/4DX8TGWgUEOHGwyTvk9nIccEKOo.jpg
Baby Shower,5,4,10/16/2008,30,{'average': 7.8},Michael insists the office throw Jan a baby shower even though he is not the father of her baby.,https://image.tmdb.org/t/p/original/cbejmeN917TiKzQqrMM3dAXdyhA.jpg
Crime Aid,5,5,10/23/2008,30,{'average': 8},Michael arranges for a fundraiser when the office is burglarized. ,https://image.tmdb.org/t/p/original/bLkVxENgm59zmhFgTYnLFQz9Jv6.jpg
Employee Transfer,5,6,10/30/2008,30,{'average': 8},"After corporate finds out about Michael and Holly's relationship, they transfer Holly back to New Hampshire.",https://image.tmdb.org/t/p/original/toJgBHy74SpFHwxO55b02BVvYLr.jpg
Customer Survey,5,7,11/6/2008,30,{'average': 8.3},Jim and Dwight are surprised by their low customer survey scores.,https://image.tmdb.org/t/p/original/f374XAvIBxHMEF6nqIVkplyL1mP.jpg
Business Trip,5,8,11/13/2008,30,{'average': 8.2},Andy and Oscar accompany Michael on a business trip to Canada; Pam gets bad news about her art class.,https://image.tmdb.org/t/p/original/H2Lf4IZDDLqaSdTfa8qcvsS550.jpg
Frame Toby,5,9,11/20/2008,30,{'average': 8.7},Michael attempts to frame Toby when he returns to the office; Jim surprises Pam by purchasing his parents house.,https://image.tmdb.org/t/p/original/xNONDn7SGP4k4gmAwn2lQfIotfu.jpg
The Surplus,5,10,12/4/2008,30,{'average': 8.2},The office argues over what to buy with a surplus; Dwight tricks Angela.,https://image.tmdb.org/t/p/original/2w8SRRHbHiGIf7Uxr56W6oxfftQ.jpg
Moroccan Christmas,5,11,12/11/2008,30,{'average': 8.2},Michael turns the Office Christmas Party into an intervention for Meredith; Dwight makes money off of a popular children's toy.,https://image.tmdb.org/t/p/original/7Mfu31Ah9fyxLYLajdra9Pl4kKX.jpg
The Duel,5,12,1/15/2009,30,{'average': 7.9},Andy finally finds out about Dwight and Angela; Michael is called to corporate to discuss the branch's success.,https://image.tmdb.org/t/p/original/2kwJKmCJ07GIE2z2luqCI26qS1j.jpg
